38 Provinsi,,,,,,
,[Seri 2010] Produk Domestik Regional Bruto (Milyar Rupiah),,,,,
,Harga Berlaku,,,Harga Konstan 2010,,
,2019,2020,2021,2019,2020,2021
ACEH,164162.98,166372.32,184979.88,132069.62,131580.97,135274.04
SUMATERA UTARA,799608.95,811188.31,859934.26,539513.85,533746.36,547651.82
SUMATERA BARAT,245949.74,241894.13,253100.2,172205.57,169426.61,174999.89
RIAU,760247.51,727599.47,839002.41,495607.05,489995.75,506471.91
JAMBI,216927.71,205081.99,232294.15,149111.09,148354.25,153850.63
SUMATERA SELATAN,453402.71,454607.4,493636.85,315464.75,315129.22,326405.18
BENGKULU,72098.24,73305.27,79602.64,46345.45,46338.43,47853.78
LAMPUNG,356676.83,353025.09,371198.88,244378.31,240319.59,246966.49
KEP. BANGKA BELITUNG,75794.96,75519.77,85961.29,53941.9,52705.94,55369.65
KEP. RIAU,267631.48,254095.35,275622.85,181877.67,174959.21,180952.44
DKI JAKARTA,2815636.16,2767273.49,2912885.34,1836240.55,1792291.09,1856000.69
JAWA BARAT,2123153.71,2082107.26,2204660.23,1490959.69,1453380.72,1507746.39
JAWA TENGAH,1360960.13,1347222.49,1419735.15,991516.54,965227.27,997321.13
DI YOGYAKARTA,141047.69,138117.84,149413.65,104485.46,101698.52,107372.56
JAWA TIMUR,2345548.55,2299807.64,2454792,1649895.64,1611392.55,1668754.36
BANTEN,661321.34,625895.38,665870.3,456620.03,441148.58,460952.79
BALI,251934.1,224225.72,220466.43,162693.36,147498.94,143871.68
NUSA TENGGARA BARAT,132500.1,133613.74,140115.27,93872.44,93288.87,95437.86
NUSA TENGGARA TIMUR,106731.76,106482.45,110881.41,69389.02,68809.61,70540.56
KALIMANTAN BARAT,212150.33,213950.35,231321.16,137243.09,134743.38,141212.04
KALIMANTAN TENGAH,150046.1,152187.39,169655.94,100349.29,98933.61,102481.47
KALIMANTAN SELATAN,180557.64,179162.02,197882.42,133283.85,130864.32,135424.59
KALIMANTAN TIMUR,652480.26,607744.49,696632.67,486523.18,472393.33,484439.61
KALIMANTAN UTARA,96509.93,100423.21,111530.22,61417.79,60746.21,63168.43
SULAWESI UTARA,130126.51,132230.06,142620.42,89009.26,88126.37,91790.69
SULAWESI TENGAH,185740.09,197440.78,247280.35,127935.06,134152.69,149815.86
SULAWESI SELATAN,504320.73,504052.53,544857.14,330506.38,328154.57,343395.41
SULAWESI TENGGARA,129225.15,130107.27,139476.77,94053.52,93445.72,97275.32
GORONTALO,41145.45,41729.89,43893.26,28429.97,28425.38,29107.91
SULAWESI BARAT,46365.79,46465.91,50565.53,32843.81,32074.02,32898.3
MALUKU,46152.82,46263.47,48893.68,31049.45,30765.89,31881.23
MALUKU UTARA,39695.49,42298.87,52480.52,26597.55,28031.44,32738.67
PAPUA BARAT,84356.97,83588.64,85078.49,62074.52,61604.13,61289.4
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,189510.7,199186.57,235487.47,134565.89,137787.29,158675.15
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,15832657.2,15443353.2,16976751.4,10949155.4,10722999.3,11120059.7
