38 Provinsi,,,,
,[Seri 2010] Produk Domestik Regional Bruto (Milyar Rupiah),,,
,Harga Berlaku,,Harga Konstan 2010,
,2022,2023,2022,2023
ACEH,210418.36,227110.2,140971.72,146932.42
SUMATERA UTARA,955193.09,1050995.41,573528.77,602235.95
SUMATERA BARAT,285376.46,312770.28,182629.14,191071.35
RIAU,991615.38,1026472.05,529532.98,551828.49
JAMBI,276719.44,293729.31,161730.02,169268.77
SUMATERA SELATAN,590067.1,629099.66,343459.88,360911.01
BENGKULU,90111.95,96551.38,49916.06,52040.88
LAMPUNG,414131.42,448880.25,257534.19,269240.54
KEP. BANGKA BELITUNG,95295.6,102635.65,57805.15,60338.14
KEP. RIAU,308842.68,331889.5,190163.7,200043.86
DKI JAKARTA,3188539.02,3442980.93,1953488.99,2050465.97
JAWA BARAT,2422782.32,2625218.58,1589984.93,1669416.85
JAWA TENGAH,1559571.1,1696795.42,1050278.09,1102563.18
DI YOGYAKARTA,165718.44,180689.95,112901.32,118626.84
JAWA TIMUR,2731358.78,2953546.91,1757874.93,1844808.67
BANTEN,747223.58,814124.34,484131.22,507427.24
BALI,245362.88,274355.72,150830.41,159447.58
NUSA TENGGARA BARAT,156942.67,166394.91,102073.66,103905.92
NUSA TENGGARA TIMUR,118718.2,128523.13,72695.28,75257.56
KALIMANTAN BARAT,255797.28,274468.58,148368.94,154980.81
KALIMANTAN TENGAH,199783.37,208846.41,109094.72,113611.55
KALIMANTAN SELATAN,251229.5,269296.45,142341.22,149230.96
KALIMANTAN TIMUR,921450.99,843571.25,506158.91,537630.01
KALIMANTAN UTARA,138674.96,147278.62,66528.39,69816.76
SULAWESI UTARA,157039.46,171969.42,96768.15,102070.48
SULAWESI TENGAH,323630.28,347139.17,172624.82,193181.36
SULAWESI SELATAN,605148.86,652574.05,360895.02,377162.17
SULAWESI TENGGARA,158800.27,176179.9,102656.43,108152.98
GORONTALO,47569.65,51374.4,30284.29,31647.6
SULAWESI BARAT,54078.35,58551.82,33658.22,35426.01
MALUKU,54057.97,58489.79,33574.66,35322.4
MALUKU UTARA,70902.61,85145.36,40248.38,48494.74
PAPUA BARAT,91292.02,61571.37,62518.53,40954.86
PAPUA BARAT DAYA,-,36104.47,-,24009.16
PAPUA,262519.79,81737.92,172907.29,49552.73
PAPUA SELATAN,-,31359.66,-,18135.29
PAPUA TENGAH,-,150371.08,-,101066.01
PAPUA PEGUNUNGAN,-,24433.99,-,13172.5
INDONESIA,19588089.9,20892376.7,11710247.9,12301393.6
